city,distance,through
KAB. ACEH BARAT,689.8347628059074,"[43, 52, 51, 0]"
KAB. ACEH BARAT DAYA,809.5265594390755,"[43, 52, 51, 0, 1]"
KAB. ACEH BESAR,896.3874736418941,"[43, 39, 38, 2]"
KAB. ACEH JAYA,972.6909469789928,"[43, 39, 38, 2, 3]"
KAB. ACEH SELATAN,929.3789262408726,"[43, 34, 62, 4]"
KAB. ACEH SINGKIL,824.6847244233945,"[43, 39, 38, 6, 5]"
KAB. ACEH TAMIANG,615.8009632327448,"[43, 39, 38, 6]"
KAB. ACEH TENGAH,675.5939629303873,"[43, 52, 51, 26, 7]"
KAB. ACEH TENGGARA,569.3336542647851,"[43, 42, 11, 10, 9, 8]"
KAB. ACEH TIMUR,434.05548259249304,"[43, 42, 11, 10, 9]"
KAB. ACEH UTARA,367.46534850400536,"[43, 42, 11, 10]"
KAB. BENER MERIAH,328.34414680450465,"[43, 42, 11]"
KAB. BIREUEN,379.3393203781263,"[43, 42, 11, 12]"
KAB. GAYO LUES,528.5464810780182,"[43, 42, 11, 12, 13]"
KAB. NAGAN RAYA,625.641318163037,"[43, 42, 11, 12, 13, 14]"
KAB. PIDIE,670.1133026403072,"[43, 52, 53, 16, 15]"
KAB. PIDIE JAYA,640.5819060077267,"[43, 52, 53, 16]"
KAB. SIMEULUE,778.7720661875935,"[43, 52, 53, 54, 55, 17]"
KOTA BANDA ACEH,811.8841854864345,"[43, 39, 18]"
KOTA LANGSA,756.936956277579,"[43, 44, 45, 20, 19]"
KOTA LHOKSEUMAWE,635.4657347972022,"[43, 44, 45, 20]"
KOTA SABANG,851.6132745658803,"[43, 44, 45, 20, 21]"
KOTA SUBULUSSALAM,497.07199715852096,"[43, 34, 35, 49, 22]"
KAB. ASAHAN,595.9505267838194,"[43, 52, 51, 50, 23]"
KAB. BATUBARA,616.3705399782415,"[43, 39, 38, 25, 24]"
KAB. DAIRI,475.01036856490816,"[43, 39, 38, 25]"
KAB. DELI SERDANG,438.8346533839124,"[43, 52, 51, 26]"
KAB. HUMBANG HASUNDUTAN,535.6582844802783,"[43, 39, 38, 29, 27]"
KAB. KARO,501.4414026283198,"[43, 39, 38, 25, 28]"
KAB. LABUHANBATU,357.35475619003415,"[43, 39, 38, 29]"
KAB. LABUHANBATU SELATAN,408.96032164577383,"[43, 39, 38, 29, 30]"
KAB. LABUHANBATU UTARA,474.3345173325686,"[43, 39, 38, 29, 30, 31]"
KAB. LANGKAT,454.83265065795547,"[43, 44, 45, 32]"
KAB. MANDAILING NATAL,258.0800237602107,"[43, 39, 33]"
KAB. NIAS,270.91180135832013,"[43, 34]"
KAB. NIAS BARAT,301.0379218571662,"[43, 34, 35]"
KAB. NIAS SELATAN,352.27566999703106,"[43, 34, 35, 36]"
KAB. NIAS UTARA,435.3152177803747,"[43, 34, 35, 36, 37]"
KAB. PADANG LAWAS,215.42284168060763,"[43, 39, 38]"
KAB. PADANG LAWAS UTARA,160.8533566781319,"[43, 39]"
KAB. PAKPAK BHARAT,195.78517061398526,"[43, 42, 41, 40]"
KAB. SAMOSIR,131.11555844402451,"[43, 42, 41]"
KAB. SERDANG BEDAGAI,46.88606561278717,"[43, 42]"
KAB. SIMALUNGUN,0.0,[43]
KAB. TAPANULI SELATAN,155.75073375103347,"[43, 44]"
KAB. TAPANULI TENGAH,226.39494547765713,"[43, 44, 45]"
KAB. TAPANULI UTARA,275.3893296291715,"[43, 44, 45, 46]"
KAB. TOBA SAMOSIR,283.386320548932,"[43, 52, 48, 47]"
KOTA BINJAI,118.58495003010017,"[43, 52, 48]"
KOTA GUNUNGSITOLI,334.4091772366098,"[43, 34, 35, 49]"
KOTA MEDAN,458.5377109403848,"[43, 52, 51, 50]"
KOTA PADANGSIDEMPUAN,202.5002834577325,"[43, 52, 51]"
KOTA PEMATANGSIANTAR,23.38168614089638,"[43, 52]"
KOTA SIBOLGA,164.06808090760694,"[43, 52, 53]"
KOTA TANJUNGBALAI,341.1662221409208,"[43, 52, 53, 54]"
KOTA TEBING TINGGI,422.90296981247906,"[43, 52, 53, 54, 55]"
KAB. AGAM,583.4901618362461,"[43, 52, 48, 56]"
KAB. DHARMASRAYA,772.3050018233547,"[43, 52, 48, 56, 57]"
KAB. KEPULAUAN MENTAWAI,619.081587509444,"[43, 34, 35, 36, 58]"
KAB. LIMA PULUH KOTA,572.1168694649098,"[43, 52, 48, 59]"
KAB. PADANG PARIAMAN,498.3809333812524,"[43, 42, 60]"
KAB. PASAMAN,561.913242113673,"[43, 34, 62, 61]"
KAB. PASAMAN BARAT,502.29094978898445,"[43, 34, 62]"
KAB. PESISIR SELATAN,580.3092598542644,"[43, 39, 33, 63]"
KAB. SIJUNJUNG,699.6161538260606,"[43, 39, 33, 63, 64]"
KAB. SOLOK,664.5838947581755,"[43, 39, 33, 63, 65]"
KAB. SOLOK SELATAN,609.1846057345838,"[43, 52, 53, 66]"
KAB. TANAH DATAR,530.8446657243679,"[43, 52, 51, 74, 73, 67]"
KOTA BUKITTINGGI,559.7174971462889,"[43, 52, 51, 74, 73, 67, 68]"
KOTA PADANG,631.3361617004945,"[43, 52, 51, 74, 73, 67, 68, 69]"
KOTA PADANGPANJANG,605.5263507633639,"[43, 52, 51, 74, 73, 71, 70]"
KOTA PARIAMAN,570.1626488424619,"[43, 52, 51, 74, 73, 71]"
KOTA PAYAKUMBUH,508.8875913790172,"[43, 42, 41, 72]"
